case_name,alt_kft,Re_L,M_inf,alpha_deg,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3,CD_HF,CL_HF,CD_LF1,CD_LF2,CL_LF
case_0000,16.9,13280000,0.138,0.767,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.00972,0.0208,0.072728765,0.073438057,1.121702898
case_0002,4.115,9325000,0.4318,10.01,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.0184713,0.18817,0.076431739,0.054842909,1.154318943
case_0003,36.08,11960000,0.2187,11.76,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.0238407,0.203843,0.072845738,0.056291901,1.122947275
case_0004,20.93,2360000,0.1428,-9.075,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.0195548,-0.161686,0.072731462,0.073442839,1.121701354
case_0006,32.07,15770000,0.4592,-3.184,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.00489126,-0.065171,0.045463572,0.043962981,0.391835388
case_0007,13.6,13440000,0.3201,19.92,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.0762782,0.221494,0.07278302,0.071999811,1.12228186
case_0008,24.35,29750000,0.2943,16.17,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.0521323,0.192662,0.072730034,0.073440291,1.121691554
case_0009,10.08,22110000,0.2724,2.749,117.4,69.97,532,1000,847.2,184.3,85.55,41.32,58.91,26.57,0.00626119,0.0615288,0.045384795,0.043885991,0.424319352
case_0011,28.08,23100000,0.3878,3.826,166,53.31,614.4,1000,565.4,224.9,78.19,59.52,42.2,25.87,0.00948392,0.118313,0.021462034,0.020889671,0.449398363
case_0012,1.648,33480000,0.1867,1.683,166,53.31,614.4,1000,565.4,224.9,78.19,59.52,42.2,25.87,0.00901149,0.0558192,0.155648623,0.16066139,1.704397346
case_0013,22.8,34860000,0.4444,-5.451,166,53.31,614.4,1000,565.4,224.9,78.19,59.52,42.2,25.87,0.00829665,-0.155495,0.15555703,0.158031879,1.70397836
case_0014,33.51,1585000,0.2818,15.55,166,53.31,614.4,1000,565.4,224.9,78.19,59.52,42.2,25.87,0.0612222,0.302393,0.15555703,0.158031879,1.70397836
case_0017,7.511,3332000,0.08578,13.46,166,53.31,614.4,1000,565.4,224.9,78.19,59.52,42.2,25.87,0.0495396,0.325761,0.155653218,0.155880993,1.704622875
case_0022,35.16,16760000,0.2149,13.87,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.0436148,0.263336,0.21841819,0.233908655,2.077056986
case_0023,27.72,1032000,0.4568,3.477,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.00996992,0.0830844,0.218610479,0.228956461,2.077992877
case_0024,7.507,9275000,0.4102,7.197,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.0132531,0.171581,0.21841819,0.233908655,2.077056986
case_0025,31.32,28910000,0.3867,1.969,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.00478583,0.0508152,0.218518091,0.227549542,2.077522393
case_0026,36.58,4453000,0.2849,-4.175,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.0103037,-0.0898126,0.218176247,0.229861956,2.075912203
case_0027,20.08,14680000,0.1805,9.636,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.0216413,0.215115,0.218176247,0.229861956,2.075912203
case_0028,10.63,6056000,0.09314,-9.906,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.0291607,-0.211676,0.218176247,0.229861956,2.075912203
case_0029,1.415,44200000,0.2734,19.57,123.2,144.2,365.9,1000,821.8,240.1,67.88,45.36,55.6,32.6,0.0979448,0.300033,0.218196124,0.229507776,2.076351149
case_0032,5.577,36640000,0.25,16.48,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.0574009,0.267681,0.121030873,0.124793207,1.545258249
case_0033,26.74,37520000,0.3873,0.9686,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.00406896,0.0200852,0.012084191,0.012038214,0.128242331
case_0034,35.43,8413000,0.1726,5.984,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.0140244,0.112594,0.121041215,0.121982839,1.545324355
case_0035,20.08,3380000,0.06672,-6.657,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.0259909,-0.123912,0.121041215,0.121982839,1.545324355
case_0036,3.355,4503000,0.4559,-9.666,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.0191062,-0.169709,0.121030873,0.124793207,1.545258249
case_0037,19.66,10060000,0.2879,9.611,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.0198903,0.179223,0.121030873,0.124793207,1.545258249
case_0038,31.7,4517000,0.1035,-2.679,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.0137999,-0.0485878,0.120936926,0.122865421,1.544609723
case_0039,10.37,63230000,0.4408,13.43,194.7,96.34,207.7,1000,605.1,263.2,64.83,59,40.09,39.77,0.038343,0.207355,0.120980174,0.122782816,1.545048864
case_0042,29.71,7843000,0.113,6.72,175.5,154.7,304.7,1000,846.5,237.3,88.51,42.28,57.91,36.08,0.0223952,0.176082,0.024218344,0.024860951,0.048345306
case_0043,22.37,9417000,0.1401,17.96,175.5,154.7,304.7,1000,846.5,237.3,88.51,42.28,57.91,36.08,0.0869511,0.386619,0.185767529,0.188788675,1.881860002
case_0044,8.023,64000000,0.4206,-5.199,175.5,154.7,304.7,1000,846.5,237.3,88.51,42.28,57.91,36.08,0.00887881,-0.140598,0.025255779,0.023664491,-0.5595107
case_0045,37.89,4421000,0.4075,15.88,175.5,154.7,304.7,1000,846.5,237.3,88.51,42.28,57.91,36.08,0.0707471,0.311253,0.024218344,0.024860951,0.048345797
case_0046,15.28,3129000,0.2683,-0.6172,175.5,154.7,304.7,1000,846.5,237.3,88.51,42.28,57.91,36.08,0.00987332,-0.0132944,0.025275487,0.023632687,-0.559912615
case_0048,7.593,3763000,0.06838,-1.875,175.5,154.7,304.7,1000,846.5,237.3,88.51,42.28,57.91,36.08,0.0225228,-0.0463248,0.023101019,0.022214277,-0.525363451
case_0049,1.989,20600000,0.1946,3.428,175.5,154.7,304.7,1000,846.5,237.3,88.51,42.28,57.91,36.08,0.0104455,0.0926381,0.025265976,0.023739368,-0.559716557
case_0050,38.76,1816000,0.09455,-2.505,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.0172758,-0.0580989,0.086991167,0.084958169,1.254972708
case_0051,11.34,3557000,0.4455,0.127,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.00567225,0.00651233,0.086991167,0.084958169,1.254972708
case_0053,2.595,12970000,0.1151,17.12,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.0682958,0.374139,0.074688478,0.072816188,1.122201465
case_0054,13.71,65250000,0.4592,-6.228,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.0102174,-0.161472,0.074720525,0.07290501,1.122529821
case_0055,5.686,48850000,0.3251,3.484,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.00691325,0.0914467,0.017950757,0.017383182,0.393737306
case_0056,32.07,6560000,0.19,10.49,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.028537,0.251016,0.074654905,0.072891741,1.121852083
case_0057,26.1,13690000,0.1538,7.001,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.0195474,0.172641,0.074720525,0.07290501,1.122529821
case_0058,29.4,3821000,0.3136,16.99,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.0722077,0.312943,0.074668444,0.072490298,1.122135894
case_0059,19.21,21490000,0.2632,-8.32,152.8,134.4,332.8,1000,752.7,256.1,87.98,57.09,58.63,32.94,0.0169349,-0.201891,0.074655256,0.072892203,1.121853326
case_0060,19.05,16050000,0.2118,3.337,159.9,69.39,459.1,1000,791.6,261.6,72.89,46.66,41.62,37.33,0.00933132,0.0879342,0.07831702,0.076826321,1.142526247
case_0061,25.54,36430000,0.4626,12.51,159.9,69.39,459.1,1000,791.6,261.6,72.89,46.66,41.62,37.33,0.0430271,0.240792,0.078334107,0.076697432,1.142851667
case_0062,12,2555000,0.08137,10.43,159.9,69.39,459.1,1000,791.6,261.6,72.89,46.66,41.62,37.33,0.0365975,0.246391,0.078334107,0.076697432,1.142851667
case_0064,29.08,16710000,0.4157,7.94,159.9,69.39,459.1,1000,791.6,261.6,72.89,46.66,41.62,37.33,0.0161229,0.203399,0.051778018,0.050650835,0.920718615
case_0066,35.16,8971000,0.115,-0.5533,159.9,69.39,459.1,1000,791.6,261.6,72.89,46.66,41.62,37.33,0.0128445,-0.00873583,0.014292165,0.014280838,-0.042932535
case_0070,31.17,33100000,0.4209,13,124,137.5,379.9,1000,592.7,213.7,74.65,57.56,48.24,37.69,0.0324903,0.259933,0.074390802,0.072405456,1.152339005
