model_name,Low Fidelity,High Fidelity,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle
E_S_WWC_WM_005,0.338854548692196,0.296259600109634,12.9715,10.6198,-6.48716,6.18597,2.25,-0.01,9.68012,5.09923,-12.3244,63.8911,-14.6804,-0.1,11.6543,-0.1,40.39,12.1007,10.4434,39.8728,81.2466,8.66135,130.822,-36.2487,88.6815
E_S_WWC_WM_006,0.295356863692386,0.223488059302325,9.34228,-3.16809,3.62362,-0.40938,-0.32,-1.08,18.4869,-4.89229,-21.1429,-51.4419,4.65238,0.4,9.2175,0.5,21.1696,-11.0906,-6.39725,7.58401,-37.6371,-45.9744,127.369,70.7942,-17.8464
E_S_WWC_WM_007,0.18835499849566,0.277824337747508,-0.324772,5.57163,10.0661,19.1134,-1.11,1.97,8.57573,4.18703,11.4337,128.574,-3.17983,0,-18.0778,0.1,36.0917,22.9391,-4.14031,23.1288,125.336,5.53025,128.399,-56.5256,-23.5455
E_S_WWC_WM_008,0.228299674564486,0.238931383395349,11.2471,-7.30354,18.5968,1.43838,-1.25,0.54,-3.48386,2.24477,7.1409,31.4745,-7.33866,0.6,-8.49659,0.7,6.74988,9.57108,-4.24254,-16.4713,25.4095,-40.3024,107.968,-52.5836,57.4909
E_S_WWC_WM_009,0.321740038301226,0.258389442475083,-1.63974,-7.91724,16.4215,-13.942,0.29,1.26,-7.90374,5.13453,24.627,-28.3226,-3.71092,-0.2,17.2261,0,-7.32919,18.7647,-12.1105,43.2354,42.3561,-43.6618,89.0359,26.8087,117.017
E_S_WWC_WM_010,0.367823088426908,0.271128990109634,7.5353,-4.33703,8.61681,-19.4537,-0.44,-0.39,-9.27498,8.43238,27.9209,17.598,-14.9975,-0.2,3.34073,-0.2,31.5132,1.31296,-17.6415,27.7268,24.6156,37.1007,18.3839,69.6224,2.59549
E_S_WWC_WM_011,0.308783368045583,0.273703506694352,1.45564,1.22362,12.0954,7.09802,-0.7,2.3,0.596081,-0.450606,-33.1165,29.2328,1.26841,-0.2,12.2478,0,-0.695343,24.2013,-22.1975,38.4497,-38.8848,-47.553,-45.1738,11.9651,-175.733
E_S_WWC_WM_012,0.400969227194638,0.243074128541528,7.94051,-5.21013,3.19505,-4.76296,-1.1,-0.29,3.72183,-4.85159,26.9704,109.582,0.993291,0.7,-10.5897,0.9,26.1141,-2.12336,-21.7019,0.783284,4.89163,-36.421,-1.21948,43.4288,-198.922
E_S_WWC_WM_013,0.319262585503906,0.269303556700997,0.352927,4.68227,19.1044,-16.4886,-1.64,0.23,-8.74561,2.76618,-2.75982,-76.9116,-14.4971,0.2,2.74215,0.8,46.7225,1.81866,0.981035,24.6691,72.3818,-7.29189,137.84,-9.11047,-37.9416
E_S_WWC_WM_014,0.361456259216772,0.257620528109634,6.103,-6.27523,13.1765,0.899354,2.19,-0.72,-6.95945,7.79617,-44.7464,-65.8647,-11.4571,-0.2,15.3916,0.3,33.7089,-1.57356,5.29959,24.7258,-32.4726,8.87441,129.119,-38.9676,-70.2568
E_S_WWC_WM_015,0.389651360262576,0.276753205315615,13.725,13.8181,18.0805,-8.53467,-1.39,1.47,18.6772,-2.96069,44.9859,76.8757,-6.19086,0.2,-18.6255,-0.3,11.8111,5.39458,-15.1906,-4.49989,74.1891,21.0976,122.545,36.772,-0.491471
E_S_WWC_WM_016,0.371102146756315,0.291535427265781,0.223555,13.7781,-5.46415,14.5567,-1.16,0.16,6.27646,-4.20453,-21.1336,51.713,-9.19082,-0.2,-5.64184,-0.2,7.79045,25.3704,24.9272,-8.79346,-8.57969,7.06585,-14.8453,-16.5856,-88.3032
E_S_WWC_WM_017,0.242839540129568,0.23119601858804,5.2301,0.303838,10.7587,8.29903,-0.92,-1.19,1.34318,-2.29422,-36.9208,-43.1497,4.50102,0.6,23.8279,0.5,16.7638,5.64683,6.37938,-1.60506,116.222,45.9524,147.656,1.03778,-158.546
E_S_WWC_WM_020,0.343164440462522,0.27131029417608,5.87987,-1.956,4.31193,-2.00787,0.03,1.31,12.3594,5.71535,-48.9644,55.8636,-2.763,0.7,-24.3493,1,24.6246,26.8822,-11.3817,50.6538,-21.3935,37.6009,-2.42089,-18.9778,-153.417
