w_c_ratio,age,cement,slag,fly_ash,sp,coarse_agg,fine_agg,fc,fc_ext_abrams
0.3,28,540.0,0.0,0.0,2.5,1040.0,676.0,79.99,65.965134884639
0.3,28,540.0,0.0,0.0,2.5,1055.0,676.0,61.89,65.965134884639
0.6857142857142857,270,332.5,142.5,0.0,0.0,932.0,594.0,40.27,45.20019327111337
0.6857142857142857,365,332.5,142.5,0.0,0.0,932.0,594.0,41.05,45.44417599129725
0.9667673716012085,360,198.6,132.4,0.0,0.0,978.4,825.5,44.3,36.2713646678054
0.8571428571428571,90,266.0,114.0,0.0,0.0,932.0,670.0,47.03,37.50038508797201
0.6,365,380.0,95.0,0.0,0.0,932.0,594.0,43.7,49.602732955809756
0.6,28,380.0,95.0,0.0,0.0,932.0,594.0,36.45,41.87149150474178
0.8571428571428571,28,266.0,114.0,0.0,0.0,932.0,670.0,45.85,33.13933070471171
0.48,28,475.0,0.0,0.0,0.0,932.0,594.0,39.29,48.46918944150089
0.9667673716012085,90,198.6,132.4,0.0,0.0,978.4,825.5,38.07,34.654628066534926
0.9667673716012085,28,198.6,132.4,0.0,0.0,978.4,825.5,28.02,30.62451698166791
0.5333333333333333,270,427.5,47.5,0.0,0.0,932.0,594.0,43.01,53.297910569278
1.2,90,190.0,190.0,0.0,0.0,932.0,670.0,42.33,30.07560705493817
0.75,28,304.0,76.0,0.0,0.0,932.0,670.0,47.81,36.171881994182854
0.6,90,380.0,0.0,0.0,0.0,932.0,670.0,52.91,47.38167676429014
1.3753581661891119,90,139.6,209.4,0.0,0.0,1047.0,806.9,39.36,27.502501780020744
0.6666666666666666,365,342.0,38.0,0.0,0.0,932.0,670.0,56.14,46.291451563681186
0.6,90,380.0,95.0,0.0,0.0,932.0,594.0,40.56,47.38167676429014
0.48,180,475.0,0.0,0.0,0.0,932.0,594.0,42.62,56.52735838620727
0.5333333333333333,180,427.5,47.5,0.0,0.0,932.0,594.0,41.84,52.753816510254886
1.3753581661891119,28,139.6,209.4,0.0,0.0,1047.0,806.9,28.24,24.304137132377335
1.3753581661891119,3,139.6,209.4,0.0,0.0,1047.0,806.9,8.06,10.098207769413904
1.3753581661891119,180,139.6,209.4,0.0,0.0,1047.0,806.9,44.21,28.344783269123283
0.6,365,380.0,0.0,0.0,0.0,932.0,670.0,52.52,49.602732955809756
0.6,270,380.0,0.0,0.0,0.0,932.0,670.0,53.3,49.33642358940315
0.6,270,380.0,95.0,0.0,0.0,932.0,594.0,41.15,49.33642358940315
0.6666666666666666,180,342.0,38.0,0.0,0.0,932.0,670.0,52.12,45.57288878366365
0.5333333333333333,28,427.5,47.5,0.0,0.0,932.0,594.0,37.43,45.23357891108558
0.48,7,475.0,0.0,0.0,0.0,932.0,594.0,38.6,32.17466018403849
0.75,365,304.0,76.0,0.0,0.0,932.0,670.0,55.26,42.8507353950677
0.8571428571428571,365,266.0,114.0,0.0,0.0,932.0,670.0,52.91,39.258247370861575
0.9667673716012085,180,198.6,132.4,0.0,0.0,978.4,825.5,41.72,35.71594794083742
0.48,270,475.0,0.0,0.0,0.0,932.0,594.0,42.13,57.11037212634542
1.2,365,190.0,190.0,0.0,0.0,932.0,670.0,53.69,31.485426584867216
0.96,270,237.5,237.5,0.0,0.0,932.0,594.0,38.41,36.25091444901699
0.96,28,237.5,237.5,0.0,0.0,932.0,594.0,30.08,30.76590774036483
0.6857142857142857,90,332.5,142.5,0.0,0.0,932.0,594.0,37.72,43.40932705376193
0.48,90,475.0,0.0,0.0,0.0,932.0,594.0,42.23,54.84761551625798
0.96,180,237.5,237.5,0.0,0.0,932.0,594.0,36.25,35.88084539799429
0.6666666666666666,90,342.0,38.0,0.0,0.0,932.0,670.0,50.46,44.21866425977312
0.5333333333333333,365,427.5,47.5,0.0,0.0,932.0,594.0,43.7,53.58560334799716
0.96,365,237.5,237.5,0.0,0.0,932.0,594.0,39.0,36.44659053082872
0.6,180,380.0,0.0,0.0,0.0,932.0,670.0,53.1,48.83277054406378
0.5333333333333333,90,427.5,47.5,0.0,0.0,932.0,594.0,41.54,51.18620660107974
0.5333333333333333,7,427.5,47.5,0.0,0.0,932.0,594.0,35.08,30.026807692515877
0.5501432664756447,3,349.0,0.0,0.0,0.0,1047.0,806.9,15.05,18.415675405267113
0.6,180,380.0,95.0,0.0,0.0,932.0,594.0,40.76,48.83277054406378
0.96,7,237.5,237.5,0.0,0.0,932.0,594.0,26.26,20.422925124308932
0.6,7,380.0,95.0,0.0,0.0,932.0,594.0,32.82,27.79499773128874
0.6857142857142857,180,332.5,142.5,0.0,0.0,932.0,594.0,39.78,44.738765114496566
1.2,180,190.0,190.0,0.0,0.0,932.0,670.0,46.93,30.996691518399555
0.96,90,237.5,237.5,0.0,0.0,932.0,594.0,33.12,34.81462550119226
0.75,90,304.0,76.0,0.0,0.0,932.0,670.0,49.19,40.932012665713806
